,Name
0,
1,1
2,2
3,2 or More
4,"2 or more races, not His/Lat"
5,Afghan
6,Afr Amer
7,AFRAM
8,African
9,African American/Black
10,African American/Black IPEDS
11,ALASKAN
12,Algerian
13,Am Indian or Alaska Native
14,Am. Ind
15,Am. Indian or Alaskan Native
16,american
17,American Indian
18,American Indian or Alaska Native
19,American Indian or Alaskan Nat
20,American Indian or Alaskan Native
21,American Indian/Alaska Native
22,American Indian/Alaskan Native
23,AMIND
24,Armenian
25,As Indi
26,As Indian
27,Asian
28,Asian American
29,Asian Indian
30,Asian IPEDS
31,Asian or Pacific Islander
32,"Asian,Asian American or Pacific Islander"
33,AsianAsian American or Pacific Islander
34,"Asians, not Hispanic/Latino"
35,ASINDIAN
36,Assyrian/Chaldean
37,Azerbaijani
38,Bahraini
39,Bangladeshi
40,Berber
41,BLACK
42,Black (Non-Hispanic Origin)
43,Black Non-Hispanic
44,Black or African American
45,Black or African American (non-Hispanic)
46,Black Pref
47,Black/African American
48,Black/African-American
49,Black/Non-Hispanic
50,Blackfoot
51,BLACKPRF
52,CaHmLaViet
53,Cambodian
54,canadian
55,Caribbean
56,Caucasian
57,Central Am
58,Cherokee
59,Cherokee/E
60,Chickasaw
61,Chinese
62,Chippewa
63,Chipplco
64,Choctaw
65,Choctaw/OK
66,Circassian
67,Comanche
68,Cuban
69,Cuban/Cuban American
70,DECHISPA
71,DECLINE
72,Decline to Respond
73,Declined to report
74,Djiboutian
75,East Indian/Pakistani
76,ECUADORI
77,Egyptian
78,Emirati
79,Eskimo
80,Ethni
81,ethni1
82,ethni2
83,ethni3
84,Ethnicity Unknown
85,Ethnicity1
86,Ethnicity2
87,Ethnicity3
88,EUROPEAN
89,European/European descent
90,Fijian
91,Filipino
92,Filipino/Filipino American
93,Foreign
94,Foreign Student
95,Georgian
96,german
97,Guamanian/Chamorro
98,GUATEMAL
99,Hawaii/Pac
100,Hawaiian
101,Hawaiian Pac Islander
102,HIS
103,HIS ()
104,HIS (Hispanic/Latino)
105,HISP
106,HISPA
107,Hispanic
108,Hispanic / Latino
109,Hispanic American
110,Hispanic or Latino
111,Hispanic/Latino
112,Hispanic/Latino IPEDS
113,Hispanic/Latino origin
114,Hispanic/Latinx
115,Hispanics of any race
116,Hmong
117,Hochunk
118,Indonesian
119,International
120,International/Non Res Ali
121,Iranian
122,Iraqi
123,Israeli
124,JAPANESE
125,Japanese/Japanese American
126,Jordanian
127,Korean
128,Kurdish
129,Kuwaiti
130,Laotian
131,Latin American/Latino
132,Latino
133,LatinoHispanic
134,Lebanese
135,Libyan
136,Lumbee
137,Malaysian
138,Mauritanian
139,Menominee/
140,merican
141,MEXAMER
142,MEXICAN
143,Mexican Mexican American or Chicano
144,Mexican/Mexican American/Chicano
145,Mexican-Am
146,Middle Eas
147,Middle Eastern
148,Middle Eastern/Middle Eastern descent
149,MIDEAST
150,Mohican/No
151,Mohican/WI
152,Moroccan
153,MULTI
154,Multi Racial
155,Multiracial
156,Multi-racial (Other)
157,Multi-Racial (races not specified)
158,Multi-Racial (two or more races)
159,NA
160,NAFRICAN
161,Native American
162,Native American/Alaska Native IPEDS
163,Native Hawaiian or Other Pacific Islander
164,Native Hawaiian or Pacific Islander
165,Native Hawaiian Pacific Island
166,Native Hawaiian/Oth Pac Island
167,Native Hawaiian/Other Pacific
168,Native Hawaiian/Other Pacific Islander
169,Native Hawaiian/Other Pacific Islander IPEDS
170,Native Hawaiian/Pacific Islander
171,NHS
172,NHS ()
173,NHS (Non Hispanic/Latino)
174,No Answer
175,No Respons
176,Non Hispanic
177,Non Hispanic/Latino
178,Non Hispanic/Latino origi
179,Non-Hispanic
180,Non-Hispanic or Latino
181,Non-Hispanic/Latino
182,Nonresident alien
183,Non-Resident Alien
184,NonResidentAlien
185,NORESPON
186,NoResponse
187,North African
188,Not Declared
189,Not Hispanic
190,Not Hispanic / Not Latino
191,Not Hispanic or Latino
192,Not Hispanic/Latino
193,Not Hispanic/Latinx
194,Not Reported
195,Not Specif
196,Not Specified
197,notspecified
198,"Ntv Hwain/Pac Isl, not His/Lat"
199,Oneidawi
200,Other
201,Other (self reported)
202,Other African American/Black
203,Other Asian (not including Middle Eastern)
204,"Other Hispanic, Latin American or Spanish Origin"
205,Other North African
206,Other Pacific Islander
207,Other Race
208,Other Southwest Asian
209,Other White/Caucasian
210,Othr Asian
211,Othr NonW
212,Othr PacIs
213,OTHRASN
214,Othrhisp
215,OTHRLTHS
216,OTHRNWT
217,OTHRPACI
218,OTHRSOAM
219,OTHRWHT
220,PACIF
221,Pakistani
222,Palestinian
223,Prefer to Not Answer
224,Puerto Ric
225,Puerto Rican
226,Qatari
227,Race and Ethnicity unknown
228,Race/Ethnicity Unknown
229,Refuse to Indicate/Unknown
230,Sac & Fox/
231,Samoan
232,Saudi Arabian
233,Seminole/F
234,Shoshone/N
235,Sioux
236,Sioux/Pine
237,Somali
238,South Amer
239,Sri Lankan
240,Suburban Punk
241,Sudanese
242,Syrian
243,Taiwanese
244,Thai
245,Tongan
246,Tunisian
247,Turkish
248,Two or more
249,Two or more races
250,TWOMORE
251,Undeclared
252,Undisclosed
253,Unidentified
254,Unknown
255,Unknown/Decline to respond
256,Unknown/Not Reported
257,Unknown/Undeclared
258,Unreported
259,UNSP
260,VIETNAME
261,Vietnamese
262,White
263,White (Non-Hispanic Origin)
264,White IPEDS
265,White Non-Hispanic
266,White or Caucasian
267,White or Caucasian (non-Hispanic)
268,White/Non-Hispanic
269,X-Asian/Pacific Islander
270,X-Spanish
271,Yemeni
